Resumen de incidencia;Horas registradas;Fecha de trabajo;Fecha;Hora Registro;Hasta;Cliente;Descripción del Trabajo;Clave Padre
IE-Daily;0,25;2024-12-26 08:00;2024-12-26;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Revisión sincronización y custom objects;1,5;2024-12-26 08:30;2024-12-26;08:30;10:00;IE;Se continua revisando la sincronización y la documentación;IE70-18
Sesiones de revisión de funcionalidades y Scope de Marketo, Target & CDP;0,75;2024-12-26 10:15;2024-12-26;10:15;11:00;IE;"IE | Arquitectura (Interna CX) - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 225 371 111 002
Código de acceso: gA2pg74F
________________________________
Para organizado";IE70-13
Revisión sincronización y custom objects;2,5;2024-12-26 11:00;2024-12-26;11:00;13:30;IE;Se trata de utilizar custom objects y custom fields para sincronizar oportunidades;IE70-18
Sesiones de revisión de funcionalidades y Scope de Marketo, Target & CDP;1;2024-12-26 14:30;2024-12-26;14:30;15:30;IE;"IE | Sync Marketo y Dynamics - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 289 923 220 817
Passcode: Fz9R4xs6
________________________________
For organizers: Meeting options
_";IE70-13
Revisión sincronización y custom objects;2,5;2024-12-26 15:30;2024-12-26;15:30;18:00;IE;Creación y prueba de marketo forms para probar sincronización;IE70-18
IE-Daily;0,25;2024-12-27 08:00;2024-12-27;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Revisión sincronización y custom objects;0,75;2024-12-27 08:15;2024-12-27;08:15;9:00;IE;Revisión resultados prueba sincronización;IE70-18
Sesiones de revisión de funcionalidades y Scope de Marketo, Target & CDP;0,5;2024-12-27 09:00;2024-12-27;09:00;9:30;IE;"IE | Puesta en común One-Pager - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 233 268 349 519
Código de acceso: aH92wM3Z
________________________________
Para organizado";IE70-13
Revisión sincronización y custom objects;0,5;2024-12-27 09:30;2024-12-27;09:30;10:00;IE;Pruebas sincronización custom field;IE70-18
Revisión sincronización y custom objects;3,25;2024-12-27 10:15;2024-12-27;10:15;13:30;IE;Revisión opciones para enviar oportunidades a Dynamics desde marketo;IE70-18
IE-Daily;0,25;2024-12-30 08:00;2024-12-30;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Revisión sincronización y custom objects;1,75;2024-12-30 08:15;2024-12-30;08:15;10:00;IE;Revisión problema sincronización desde Dynamics;IE70-18
Sesiones de revisión de funcionalidades y Scope de Marketo, Target & CDP;0,5;2024-12-30 11:30;2024-12-30;11:30;12:00;IE;Reunión con el equipo para ver las opciones propuestas para el manejo de oportunidades desde Marketo;IE70-13
IE-Daily;0,25;2025-01-02 08:00;2025-01-02;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Revisión sincronización y custom objects;1,75;2025-01-02 08:15;2025-01-02;08:15;10:00;IE;Revisión custom fields;IE70-18
Poc Conexión Dynamics - Marketo;0,75;2025-01-02 10:15;2025-01-02;10:15;11:00;IE;Preparación findings;IE70-2
Sesiones de revisión de funcionalidades y Scope de Marketo, Target & CDP;0,5;2025-01-02 11:30;2025-01-02;11:30;12:00;IE;"IE | Findings Marketo - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 219 462 111 671
Código de acceso: HT2r3bC6
________________________________
Para organizado";IE70-13
Poc Conexión Dynamics - Marketo;1,5;2025-01-02 13:00;2025-01-02;13:00;14:30;IE;Preparación draft correo para minsait con opciones;IE70-2
Sesiones de revisión de funcionalidades y Scope de Marketo, Target & CDP;0,5;2025-01-02 14:30;2025-01-02;14:30;15:00;IE;"IE | Diagrama de arquitectura - ________________________________________________________________________________
Microsoft Teams ¿Necesitas ayuda?
Unirse a la reunión ahora
Id. de reunión: 214 471 472 889
Código de acceso: cF6VK9qL
________________________________
Para organ";IE70-13
IE-Daily;0,25;2025-01-03 08:00;2025-01-03;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Sesiones de revisión de funcionalidades y Scope de Marketo, Target & CDP;0,25;2025-01-03 10:15;2025-01-03;10:15;10:30;IE;"IE - Pre Refinamiento - ________________________________
From: Daniel Garac y Gojak <garac.daniel@omni.pro>
Sent: Friday, December 13, 2024 8:41:03 AM (UTC-05:00) Bogota, Lima, Quito, Rio Branco
To: Daniel Garac y Gojak <garac.daniel@omni.pro>; Rafael Buitrago <rafael.buitr";IE70-13
IE-Daily;0,25;2025-01-07 08:00;2025-01-07;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Sesiones de revisión de funcionalidades y Scope de Marketo, Target & CDP;0,5;2025-01-07 08:15;2025-01-07;08:15;8:45;IE;Revisión preguntas sobre arquitectura;IE70-13
Análisis SMS y Whatsapp preliminar;1,25;2025-01-07 08:45;2025-01-07;08:45;10:00;IE;Revisión rápida acerca de webhooks de marketo para conexión con apis externas;IE70-2
Análisis SMS y Whatsapp preliminar;1;2025-01-07 10:00;2025-01-07;10:00;11:00;IE;Sincronización con Andrea Castillo acerca del requerimiento;IE70-2
Sesiones de revisión de funcionalidades y Scope de Marketo, Target & CDP;2;2025-01-07 11:00;2025-01-07;11:00;13:00;IE;"IE - Revisión Global Datamodel (Arquitectura) - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro





Daniel Garac y Gojak SMPC®

CX Project Manager

+54 11 3017";IE70-13
Análisis SMS y Whatsapp preliminar;1,25;2025-01-07 14:00;2025-01-07;14:00;15:15;IE;Revisión servicios sms disponibles;IE70-2
Análisis SMS y Whatsapp preliminar;0,5;2025-01-07 15:30;2025-01-07;15:30;16:00;IE;Revisión servicios sms;IE70-2
Análisis SMS y Whatsapp preliminar;0,75;2025-01-08 08:00;2025-01-08;08:00;8:45;IE;Se sigue con el análisis;IE70-2
IE-Planning;0,25;2025-01-08 08:45;2025-01-08;08:45;9:00;IE;"IE70-11 CX | Planning IE - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 264 476 591 393
Passcode: im2AQ3zZ
________________________________
For organizers: Meeting options
_______";IE70-7
Análisis SMS y Whatsapp preliminar;0,25;2025-01-08 09:00;2025-01-08;09:00;9:15;IE;Análisis opciones para sms y whatsapp;IE70-2
Análisis SMS y Whatsapp preliminar;2,5;2025-01-08 09:30;2025-01-08;09:30;12:00;IE;Se plantean diferentes opciones para este caso de uso;IE70-2
Análisis SMS y Whatsapp preliminar;1;2025-01-08 13:00;2025-01-08;13:00;14:00;IE;Se hace pruebas con Twilio para SMS y whatsapp;IE70-2
Análisis SMS y Whatsapp preliminar;1;2025-01-08 14:00;2025-01-08;14:00;15:00;IE;Se tratan de hacer pruebas con meta cloud api;IE70-2
Análisis SMS y Whatsapp preliminar;3;2025-01-08 15:00;2025-01-08;15:00;18:00;IE;Se sacan las ventajas y consideraciones para las diferentes opciones;IE70-2
Sesiones de Discovery;1,0;2025-01-09 07:00;2025-01-09;07:00;8:00;IE;Reunión con cliente;IE70-13
IE-Daily;0,25;2025-01-09 08:00;2025-01-09;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Análisis SMS y Whatsapp preliminar;1,25;2025-01-09 08:15;2025-01-09;08:15;9:30;IE;Análisis opciones para WhatsApp;IE70-2
Sesiones de Discovery;0,5;2025-01-09 09:30;2025-01-09;09:30;10:00;IE;Reunión cliente;IE70-13
Análisis SMS y Whatsapp preliminar;1,75;2025-01-09 13:45;2025-01-09;13:45;15:30;IE;Se analiza la posibilidad de usar Zapier;IE70-2
IE-Daily;0,25;2025-01-10 08:00;2025-01-10;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Análisis SMS y Whatsapp preliminar;0,75;2025-01-10 08:15;2025-01-10;08:15;9:00;IE;Se hace una prueba de Twilio usando un web hooks y un trigger en Marketo;IE70-2
Análisis SMS y Whatsapp preliminar;0,5;2025-01-10 10:30;2025-01-10;10:30;11:00;IE;Revisión y sugerencias con Andrea;IE70-2
Análisis SMS y Whatsapp preliminar;1;2025-01-10 13:30;2025-01-10;13:30;14:30;IE;Preparación documentación confluence y archivo a compartir con Andrea sobre hallazgos de SMS y WhatsApp;IE70-2
Análisis SMS y Whatsapp preliminar;0,5;2025-01-10 15:00;2025-01-10;15:00;15:30;IE;Sesión final con Andrea. Se habla sobre el As IS, sobre este requerimiento;IE70-2
Análisis SMS y Whatsapp preliminar;0,75;2025-01-13 14:30;2025-01-13;14:30;15:15;IE;Se revisan las opciones planteadas en el documento;IE70-2
IE-Daily;0,25;2025-01-14 08:00;2025-01-14;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
IE-Daily;0,25;2025-01-15 08:00;2025-01-15;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
IE-Daily;0,25;2025-01-16 08:00;2025-01-16;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Refinamiento Arquitectura;1;2025-01-16 09:00;2025-01-16;09:00;10:00;IE;"HERA | Mapa de arquitectura preliminar - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
From: Clara Pizarro <clara.pizarr";IE70-2
Socialización documento As-is;0,75;2025-01-16 10:15;2025-01-16;10:15;11:00;IE;"IE | AS IS Adobe - Revisión interna - Hola equipo, envío esta sesión para realizar una revisión interna de alto nivel del documento AS-IS. En caso de ver necesario invitar a alguien más y no está invitado, sientanse libres de reenviar la invitación!

Saludos
Daniel

_____________________";IE70-2
Revisón Scope;1;2025-01-16 12:00;2025-01-16;12:00;13:00;IE;"IE - Gestión de Leads - siguientes pasos - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
De: Ortega Vaquerizo, David <dort";IE70-53
Análisis uso de origen externo para configuración de Marketo Forms;0,5;2025-01-16 13:00;2025-01-16;13:00;13:30;IE;Revisión documentación API Marketo Forms;IE70-2
Análisis uso de origen externo para configuración de Marketo Forms;0,5;2025-01-16 15:00;2025-01-16;15:00;15:30;IE;Revisión marketo nation documentation y creación de pregunta para la comunidad;IE70-2
Análisis uso de origen externo para configuración de Marketo Forms;0,25;2025-01-16 17:00;2025-01-16;17:00;17:15;IE;Prueba usando api de marketo forms;IE70-2
Análisis uso de origen externo para configuración de Marketo Forms;1;2025-01-17 08:00;2025-01-17;08:00;9:00;IE;Revisión doc Marketo Forms;IE70-2
IE-Planning;0,75;2025-01-17 10:15;2025-01-17;10:15;11:00;IE;"IE - Pre Refinamiento - ________________________________
From: Daniel Garac y Gojak <garac.daniel@omni.pro>
Sent: Friday, December 13, 2024 8:41:03 AM (UTC-05:00) Bogota, Lima, Quito, Rio Branco
To: Daniel Garac y Gojak <garac.daniel@omni.pro>; Rafael Buitrago <rafael.buitr";IE70-7
IE-Daily;0,25;2025-01-20 08:00;2025-01-20;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Poc | Form Marketo;1,25;2025-01-20 08:15;2025-01-20;08:15;9:30;IE;Se revisa la documentación de Form JS API y REST API para el uso de origen externo de datos en formularios de marketo;IE70-3
Poc Conexión Dynamics - Marketo;0,5;2025-01-20 09:30;2025-01-20;09:30;10:00;IE;Sesión con Andrea para definir curso de la poc;IE70-2
Poc | Form Marketo;1;2025-01-20 10:45;2025-01-20;10:45;11:45;IE;Se realiza el montaje de prueba para origen externo de datos de formularios;IE70-3
IE-Daily;0,25;2025-01-21 08:00;2025-01-21;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Poc Conexión Dynamics - Marketo;1;2025-01-21 09:00;2025-01-21;09:00;10:00;IE;"IE | Sync Dynamics + Marketo - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 220 641 897 272
Passcode: V6zi98Nt
________________________________
For organizers: Meeting options
_";IE70-2
Poc | Lead tipo 2;0,25;2025-01-21 10:15;2025-01-21;10:15;10:30;IE;Validación custom entity;IE70-3
IE-Planning;1,25;2025-01-21 15:30;2025-01-21;15:30;16:45;IE;"IE70-11 | Modificacion de fechas para Plan de proyecto etapa de diseño - ________________________________________________________________________________
Microsoft Teams ¿Necesitas ayuda?
Unirse a la reunión ahora
Id. de reunión: 234 039 166 296
Código de acceso: qN27ce9g
________________________________
Para organ";IE70-7
Poc Conexión Dynamics - Marketo;0,75;2025-01-21 17:30;2025-01-21;17:30;18:15;IE;Se trata de solucionar problema sincronización custom entity. Se deja pregunta en marketo nations por ayuda;IE70-2
Poc | Lead tipo 2;0,25;2025-01-22 08:00;2025-01-22;08:00;8:15;IE;Revisión foro marketo nation de la pregunta realizada sobre dynamics;IE70-3
Poc | Lead tipo 2;0,25;2025-01-22 08:30;2025-01-22;08:30;8:45;IE;Se crea nuevo campo en custom entity de dynamics para ver si sincroniza;IE70-3
IE-Planning;0,25;2025-01-22 08:45;2025-01-22;08:45;9:00;IE;"IE70-11 CX | Planning IE - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 264 476 591 393
Passcode: im2AQ3zZ
________________________________
For organizers: Meeting options
_______";IE70-7
Poc | Lead tipo 2;0,75;2025-01-22 12:15;2025-01-22;12:15;13:00;IE;Se revisa la documentación sobre sincronización de custom entity desde Dynamics y donde se puede visualizar en Marketo;IE70-3
Revision de documentacion para configuracion de Subdominios;2;2025-01-22 15:00;2025-01-22;15:00;17:00;IE;"IE70-77 | Revision de proceso de delegacion de subdominios para entrega de documento de definicion de subdominios a cliente - ________________________________________________________________________________
Microsoft Teams ¿Necesitas ayuda?
Unirse a la reunión ahora
Id. de reunión: 281 113 015 156
Código de acceso: DM6r9PF9
________________________________
Para organ";IE70-66
IE-Daily;0,25;2025-01-23 08:00;2025-01-23;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Poc Conexión Dynamics - Marketo;0,75;2025-01-23 08:15;2025-01-23;08:15;9:00;IE;Revisión uso custom objects de Dynamics 365 en campaings y smart lists;IE70-2
Poc | Form Marketo;0,5;2025-01-23 09:00;2025-01-23;09:00;9:30;IE;Revisión entorno local configurado por Alberto;IE70-3
Poc | Lead tipo 2;0,5;2025-01-23 09:30;2025-01-23;09:30;10:00;IE;"IE | Sync custom entity - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 241 354 780 006
Passcode: hD2BX2mD
________________________________
For organizers: Meeting options
_";IE70-3
Integración;0,5;2025-01-24 08:00;2025-01-24;08:00;8:30;IE;"IE | Sincro Pre-Steering - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 267 412 292 251
Código de acceso: TS3mD2bg
________________________________
Para organizado";IE70-18
Poc | Lead tipo 2;1,5;2025-01-24 08:30;2025-01-24;08:30;10:00;IE;Documentación en confluence de omni para el set up de la sincronización con Dynamics 365 y consideraciones al hacer syncs de elementos custom;IE70-3
Poc | Form Marketo;0,75;2025-01-24 11:15;2025-01-24;11:15;12:00;IE;Documentación en confluence de como cargar dinámicamente datos en un form de marketo;IE70-3
Poc | Lead tipo 2;0,5;2025-01-24 12:00;2025-01-24;12:00;12:30;IE;Se agrega extra a la documentación;IE70-3
IE-Daily;0,25;2025-01-27 08:00;2025-01-27;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Poc Conexión Dynamics - Marketo;1;2025-01-27 09:00;2025-01-27;09:00;10:00;IE;"IE | Marketo / Dynamics - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 265 732 714 566
Passcode: XY2Vj9N8
________________________________
For organizers: Meeting options
_";IE70-2
IE-Daily;0,25;2025-01-28 08:00;2025-01-28;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Poc | Lead tipo 2;0,5;2025-01-28 14:00;2025-01-28;14:00;14:30;IE;Se revisa la sincronización en marketo para quitar el sync de leads, pero no se pudo;IE70-3
Poc | Lead tipo 2;1;2025-01-29 08:00;2025-01-29;08:00;9:00;IE;Se crea nuevo campo den Dynamics para impedir la sync de leads;IE70-3
Análisis SMS y Whatsapp preliminar;0,25;2025-01-29 10:00;2025-01-29;10:00;10:15;IE;"IE | Configuración para envío de SMS & Whatsapp - ADVERTENCIA: Este es un email externo. 1. Verifique el remitente 2. No descargue adjuntos desconocidos 3. No haga click en links 4. ante sospechas reporte al buzón support@omni.pro



________________________________
De: Clara Pizarro <clara.pizarro@";IE70-2
Forms Marketo / AEM;1,25;2025-01-29 10:30;2025-01-29;10:30;11:45;IE;"IE | Integración AEM - Marketo - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 298 778 964 615
Passcode: 4Zn6Vz6q
________________________________
For organizers: Meeting options
_";IE70-69
Revisión seguridad forms;2,25;2025-01-29 11:45;2025-01-29;11:45;14:00;IE;Se hacen pruebas con form de pruebas que hice y con form de nazdac. ;IE70-69
Forms Marketo / AEM;0,5;2025-01-29 15:00;2025-01-29;15:00;15:30;IE;Revisión documentación creación de programas;IE70-69
Forms Marketo / AEM;1,75;2025-01-29 16:15;2025-01-29;16:15;18:00;IE;Se revisa la api rest de marketo y se hacen una colección en postman de prueba;IE70-69
IE-Daily;0,25;2025-01-30 08:00;2025-01-30;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
Forms Marketo / AEM;1,75;2025-01-30 08:45;2025-01-30;08:45;10:30;IE;Se termina de hacer la colección en postman y de ajustar el miro;IE70-69
Sesión interna;1;2025-01-31 09:00;2025-01-31;09:00;10:00;IE;"IE & ING | Update final - Hola equipo,

El objetivo de esta sesión es poder brindar un último update respecto a los proyectos de IE e ING previo a mi tiempo off.

La sesión abarcará primero conversar del estado actual de IE y luego de ING.

Saludos,
Dani

________________";IE70-69
IE-Daily;0,25;2025-02-03 08:00;2025-02-03;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
IE-Daily;0,25;2025-02-04 08:00;2025-02-04;08:00;8:15;IE;"IE70-10 CX | Daily IE - ________________________________________________________________________________
Microsoft Teams ¿Necesita ayuda?
Unirse a la reunión ahora
Id. de reunión: 222 239 148 797
Código de acceso: Rk3Ct3Qz
________________________________
Para organizadore";IE70-7
IE-Diseño;0,5;2025-02-04 09:30;2025-02-04;09:30;10:00;IE;"IE | Arquitectura to be interno - ________________________________________________________________________________
Microsoft Teams Need help?
Join the meeting now
Meeting ID: 234 430 454 387
Passcode: Wb2nD6Q7
________________________________
For organizers: Meeting options
_";
IE-Diseño;1;2025-02-04 11:00;2025-02-04;11:00;12:00;IE;"Documentación Arquitectura - Estimados debemos trabajar sobre este Miro:

IE | Arquitectura preliminar - Miro

Hay que trabajar en :
Que tenemos cerrado
Que bloqueos existen
Que tenemos mapeado que no tenemos definición


____________________________________________________";
Revisión sincronización intereses;1;2025-02-04 12:00;2025-02-04;12:00;13:00;IE;Planteamiento alternativa para sincronización intereses dado problemas con la actual;IE70-104
Revisión sincronización intereses;3;2025-02-04 14:00;2025-02-04;14:00;17:00;IE;Se realiza una prueba completa del funcionamiento de la sincronización intereses mediante API y custom objects de Marketo;IE70-104
